品名,次数,主要单位,规格样本
直接,18,只,25; 22; 80
盒接,10,只,25; 22; 20
止水钢板,8,米,300*3*3000; 3*300*3000
钢筋网片,8,片,1000*2000*4*150; 2米*1米*4; 4*2米*1米
鱼鳞网,7,米,75; 70; 185
预埋件,7,片,12*200*300; 200*300; 200*300*10
弯头,7,只,80; 50; 65
镀锌管,12,米,15; 80; 125
三通,6,只,25; 80; 50
穿筋盒,6,只,小孔; 8公分; 双通
黄油漆,5,桶,
镀锌扁钢,4,支,4*40; 40*4; 5#
钢丝绳,4,米,9.5米*24支; 18#; 9.5米*16支
法兰,4,只,200; 60; 65
热缩管,4,卷,25
顺水三通,4,只,110; 75; 75*50
止水环,3,箱,165; 20
切割片,3,盒,
PE管,3,米,75; 40
组合套管,3,组,8*200*50; 60*150*30; 2*100*1300
松香水,3,桶,
拉杆,3,米,25#; 3米*35支; 6.2米*17支
绳卡,3,只,18#
机油,3,桶,
预埋套筒,3,只,75
干壁钉,3,箱,3.5*30; 3*30; 3.5
黄胶带,3,箱,
杯梳,3,只,25; 20; 32
预埋直接,3,只,75
八角灯头盒,3,只,7公分; 20; 对通
预埋盒,3,只,200*100; 200*200*12; 45*25*12
PVC线管,3,米,25; 20
PVC排水管,3,米,110; 75
斜三通,3,只,110; 110*75; 75*50
45度弯头,3,只,110; 50
HDPE雨水管,3,只,110; 75; 100
桩芯板,2,片,200
钢丝网,2,卷,
水不漏,2,包,
JDG电线管,2,米,20
镀锌圆钢,2,米,10#
电焊条,2,箱,3.2
胶水,2,瓶,
镀锌预埋件,2,片,200*300; 200*300*10
轨道,2,米,8*8
轨道轮,2,只,
尼龙轮,2,只,
消防箱,2,套,1800*700*220; 800*650
二氧化碳气体,2,瓶,
焊条,2,箱,3.2
扎带,2,只,
挑架预埋螺栓,2,套,
拉伸盒,2,只,小孔; 7公分
80八角司令盒,2,只,一叉; 三叉
定位卡,2,只,75
塑料预埋盒,2,只,200*200*120; 600*200*150
PVC电线管,2,米,20
镀锌弯头,2,只,80; 65
大小头,2,只,114*65; 114*50
钢丝骨架管,2,米,200; 100
密闭套管,2,套,150*29; 65*29
人防通风套管,2,只,664*50; 400*50
拉力片,2,片,
JDG线管,2,米,20
清扫口,2,只,110; 75
补芯,2,只,110*75; 75*50
带门弯头,2,只,110; 50
电熔直接,2,只,75; 100
密闭盒,2,只,18*15*12; 150*180*12
排水管,2,米,75
套管,2,组,6*150+6*50; 4*100
尼龙网,1,卷,
混凝土切割片,1,片,
A型柔性套管,1,只,300*300
防水套管,1,只,150*250
H型钢,1,米,400型
注浆液,1,桶,
防水涂料,1,桶,
滚筒,1,只,
扁钢弯头,1,只,40*4
JDG直接,1,只,22
水柏油,1,桶,
大等电位,1,只,
小等电位,1,只,
不锈钢扁钢,1,米,
1立方圆料斗,1,只,
黄油,1,桶,
止水片,1,片,65
小切割片,1,盒,
墨斗,1,箱,
灯泡,1,只,15W
水泵控制器,1,只,
不锈钢浮球阀,1,只,
橡塑路沿坡,1,片,
灌浆料,1,包,
插座,1,只,
电池,1,只,
带变压器插座,1,只,
白板笔,1,只,
钻头,1,只,12
打印纸,1,卷,
角阀,1,只,
下水,1,套,
塔吊灯,1,只,1500W
稳压消火栓,1,只,65
专用三通,1,只,65*25
机三,1,只,165
钢板,1,片,1160*240*6
印泥,1,只,
喷淋头,1,只,
厌氧胶,1,只,
等离子切割机,1,套,
气保焊电焊机,1,套,
焊丝,1,箱,1
预埋螺杆,1,套,16*110
螺杆,1,只,16*110
镀锌角钢,1,支,3#
镀锌方管,1,支,100*50
劳动车轴承,1,只,
白漆,1,桶,
喷枪,1,只,
数显回弹仪,1,只,
U型卡,1,只,370
吊环,1,套,520
草坪,1,平方,4米*25米
展示区电箱,1,只,
收纳柜,1,只,
文件盒,1,只,
氧气,1,瓶,
丙烷,1,瓶,
大扁头螺丝,1,盒,
假草坪,1,平方,3.3米*25米
脱模机,1,桶,
A3纸,1,箱,
A4纸,1,箱,
铸铁盖板,1,片,400*500*40
草籽,1,斤,
垫片,1,片,5*5
螺帽,1,只,18#
蓝油漆,1,桶,
挑架螺杆,1,套,
预埋螺栓,1,套,
PVC管,1,米,200
PVC接头,1,只,200
地脚螺栓,1,套,30
手电筒,1,只,
镀锌钢丝网,1,卷,
PVC线条,1,米,
滴水线条,1,米,
照明灯,1,只,
V型管,1,只,530
拉筋预埋件,1,套,
丙烷嘴,1,盒,
大滚筒,1,把,
小滚筒,1,包,
不锈钢防雨帽,1,只,110
PVC空调口,1,只,50
过路盒,1,只,10*10
扎丝,1,把,35cm
透明胶带,1,箱,
接地卡,1,只,20
拼装盒,1,只,一叉
70八角司令盒,1,只,一叉
KBG直接,1,只,22
填充泡沫,1,只,八角
87型铸铁雨水斗,1,只,100
PVC预埋侧排地漏,1,只,75
PVC水管,1,米,50
照明配电箱,1,只,16-A22
应急照明电源箱,1,只,1ALE
智能信息箱,1,只,
方盒,1,只,7公分
沟槽弯头,1,只,114
卡箍,1,只,114
异径三通,1,只,100*65
螺栓,1,套,114
闸阀,1,只,65
止回阀,1,只,65
软接头,1,只,65
电熔三通,1,只,200*100
电熔转沟槽,1,只,100
PVC弯头,1,只,75
消防埋地阀门,1,只,200
消防水泵接合器,1,套,
室外消火栓,1,套,
消防箱加卷盘,1,套,
人防电气套管,1,套,2*150+6*100+6*50
镀锌过路盒,1,只,150*50
沟槽卡箍,1,只,165
入户箱,1,只,
弱电箱,1,只,
等电位,1,只,
施转拴,1,只,
减压拴,1,只,
直弯,1,只,110
线管直接,1,只,20
PVC伸缩节,1,只,110
硅芯管,1,米,50
圆钢,1,米,6
铝合金方管,1,米,60*20
丝口三通,1,只,114*50
液体生料带,1,瓶,
铜球阀,1,只,22
PPR萝卜丝直接,1,只,40*32
5弯,1,只,50
法兰螺丝,1,套,16*60
v型卡,1,只,65
膨胀螺丝,1,只,8*80
槽钢,1,米,8
PE给水管,1,米,50
内丝弯头,1,只,32
给水管,1,米,32
大弯弯头,1,只,110
伸缩节,1,只,110
检查口,1,只,110
墙卡,1,只,110
LEB等电位,1,只,
86型填充泡沫,1,只,
气罐,1,瓶,
气罐枪头,1,只,
镀锌槽钢,1,支,6
水管卡,1,只,
螺丝,1,套,8*40
电熔阀头,1,只,200
布胶布,1,箱,
86拉伸盒小孔,1,只,
拉伸盒大小孔,1,只,
PE倒排地漏,1,只,75
PE侧排地漏,1,只,75
线管,1,米,20
pvc直接,1,只,20
接头,1,只,20
布胶带,1,箱,
PVC直接,1,只,20
PVC内插直接,1,只,110
86方盒,1,只,10公分
PVC斜三通,1,只,160*75
内插直接,1,只,110
PVC穿筋盒,1,只,7公分
柔性预埋套筒,1,只,75
